,dao_name,date,new_users_count,existing_users,new_user_percentage
381,Biconomy,2022-12-19,54.0,52.0,50.9434
382,Biconomy,2022-01-14,38.0,29.0,56.7164
383,Biconomy,2022-05-10,33.0,48.0,40.7407
384,Biconomy,2022-07-16,19.0,42.0,31.1475
385,Biconomy,2022-08-24,12.0,35.0,25.5319
386,Biconomy,2022-02-17,22.0,51.0,30.137
387,Biconomy,2022-11-19,48.0,54.0,47.0588
388,Biconomy,2022-07-09,80.0,48.0,62.5
389,Biconomy,2022-12-31,21.0,31.0,40.3846
390,Biconomy,2022-02-10,33.0,75.0,30.5556
391,Biconomy,2022-08-23,14.0,32.0,30.4348
392,Biconomy,2022-04-29,17.0,36.0,32.0755
393,Biconomy,2022-03-19,61.0,54.0,53.0435
394,Biconomy,2022-02-22,22.0,30.0,42.3077
395,Biconomy,2022-06-17,20.0,54.0,27.027
396,Biconomy,2022-05-18,14.0,55.0,20.2899
397,Biconomy,2022-02-11,48.0,56.0,46.1538
398,Biconomy,2022-11-05,24.0,75.0,24.2424
399,Biconomy,2022-09-11,16.0,34.0,32.0
400,Biconomy,2022-01-09,53.0,46.0,53.5354
401,Biconomy,2022-04-04,17.0,40.0,29.8246
402,Biconomy,2022-11-06,41.0,57.0,41.8367
403,Biconomy,2022-12-05,26.0,38.0,40.625
404,Biconomy,2022-06-18,24.0,48.0,33.3333
405,Biconomy,2022-06-07,24.0,51.0,32.0
406,Biconomy,2022-03-04,34.0,61.0,35.7895
407,Biconomy,2022-05-28,16.0,30.0,34.7826
408,Biconomy,2022-08-06,39.0,91.0,30.0
409,Biconomy,2022-09-21,17.0,53.0,24.2857
410,Biconomy,2022-02-02,270.0,676.0,28.5412
411,Biconomy,2022-09-08,29.0,29.0,50.0
412,Biconomy,2022-05-07,16.0,36.0,30.7692
0,MetricsDAO,2022-09-01,12.0,58.0,17.1429
1,MetricsDAO,2022-08-12,,,
2,MetricsDAO,2022-08-21,25.0,45.0,35.7143
3,MetricsDAO,2022-11-11,2.0,23.0,8.0
4,MetricsDAO,2022-12-23,12.0,61.0,16.4384
5,MetricsDAO,2022-07-12,2.0,0.0,100.0
6,MetricsDAO,2022-08-03,93.0,13.0,87.7358
7,MetricsDAO,2022-09-06,,,
8,MetricsDAO,2022-08-25,129.0,57.0,69.3548
9,MetricsDAO,2022-07-20,29.0,1.0,96.6667
10,MetricsDAO,2022-09-28,,,
11,MetricsDAO,2022-12-17,6.0,26.0,18.75
12,MetricsDAO,2022-08-10,,,
13,MetricsDAO,2022-09-17,,,
14,MetricsDAO,2022-10-01,,,
15,MetricsDAO,2022-09-12,1.0,0.0,100.0
16,MetricsDAO,2022-08-30,,,
17,MetricsDAO,2022-08-09,,,
18,MetricsDAO,2022-08-11,1.0,2.0,33.3333
19,MetricsDAO,2023-01-03,86.0,36.0,70.4918
